"VENDOR PART#","MANUFACTURER PART #","DESCRIPTION","MSRP","CONTRACT_PRICE","QUANTITY ON HAND","MANUFACTURER_NAME","CATEGORY","SERIAL_FLAG","WEIGHT"
"ADL-DLM81107R3170W0E","DLM8110-7R3170W0E","DLM8110 Resistive 32GB-MS WES 7","3400.00","2311.88","0","Advantech-DLoG","ADL","Y","5.500"
"ADL-DLM81107R31E0W0E","DLM8110-7R31E0W0E","Resist/4GB RAM/32GB mSATA/WiFi/WE8S EN","3400.00","2311.88","0","Advantech-DLoG","ADL","Y","5.500"
"ADL-DLMEFO61921000","DL-MEFO61921000","SCREEN PROTECTION FOIL 10""","37.00","25.16","0","Advantech-DLoG","ADL","N","0.010"
"ADL-DLMEFO61921200","DL-MEFO61921200","SCREEN PROECTION FOIL 10"" DIVERSE","37.00","25.16","0","Advantech-DLoG","ADL","N","0.010"
"ADL-DLMEFO61921300","DL-MEFO61921300","SCREEN PROECTION FOIL 12"" DIVERSE","41.00","27.88","0","Advantech-DLoG","ADL","N","0.010"
"ADL-DLMEFO61921500","DL-MEFO61921500","SCREEN PROECTION FOIL 10"" STANDARD","37.00","25.16","0","Advantech-DLoG","ADL","N","0.010"
"ADL-DLMEMS70109801","DL-MEMS70109801","MOUNT L/R for Scanner LS34xx, LS35xx","69.00","49.58","0","Advantech-DLoG","ADL","N","0.617"
"ADL-DLMEMS70109900","DL-MEMS70109900","MOUNT KIT SMALL/24 keyboard","45.00","32.34","3","Advantech-DLoG","ADL","N","1.631"
"ADL-DLMEMS70172701","DL-MEMS70172701","LS34xx/LS35xx SCANNER HOLDER FOR XMT5/7","69.00","49.58","0","Advantech-DLoG","ADL","N","0.480"
"ADL-DLMEMS70173312","DL-MEMS70173312","MOUNTING RIGHT for scanner LS34xx/LS35xx","69.00","49.58","0","Advantech-DLoG","ADL","N","1.631"
"ADL-DLMEMS70177100","DL-MEMS70177100","Sun visor kit DLT-V8310","52.00","37.37","0","Advantech-DLoG","ADL","N","0.708"
"ADL-DLMEMS70177200","DL-MEMS70177200","Sun visor kit DLT-V8312","73.00","52.46","0","Advantech-DLoG","ADL","N","0.831"
"ADL-DLMEMS70279800","DL-MEMS70279800","MOUNT KIT SMALL/24 keyboard front portra","45.00","32.34","0","Advantech-DLoG","ADL","N","1.631"
"ADL-DLMEMS79372000","DL-MEMS79372000","MOUNT KIT for 24 keyboard, right handed","22.00","14.96","0","Advantech-DLoG","ADL","N","0.750"
"ADL-DLMEMS79372100","DL-MEMS79372100","MOUNT KIT for 24 keyboard, left handed","22.00","14.96","0","Advantech-DLoG","ADL","N","0.750"
"ADL-DLMEMS79372200","DL-MEMS79372200","MOUNT RIGHT for scanner LS34xx, LS35xx","41.00","29.46","0","Advantech-DLoG","ADL","N","0.750"
"ADL-DLMEMS79372300","DL-MEMS79372300","MOUNT LEFT for scanner LS34xx, LS35xx","41.00","29.46","0","Advantech-DLoG","ADL","N","0.750"
"ADL-DLMEMS79372400","DL-MEMS79372400","DLoG Voice kit, right handed, DLT-V8312","305.00","219.16","0","Advantech-DLoG","ADL","N","0.750"
"ADL-DLMEMS79375000","DL-MEMS79375000","MOUNTING BRACKET FOR DLT-V83","40.00","28.74","0","Advantech-DLoG","ADL","N","0.661"
"ADL-DLMEMS79375100","DL-MEMS79375100","MOUNT KIT for small/24 keyboard, frontal","45.00","30.60","12","Advantech-DLoG","ADL","N","0.750"
"ADL-DLMEMS79375200","DL-MEMS79375200","MOUNT KIT for 24 keyboard, right","45.00","30.60","0","Advantech-DLoG","ADL","N","0.750"
"ADL-DLMEMS79375400","DL-MEMS79375400","MOUNT RIGHT, for scanner LS34xx, LS35xx","41.00","29.46","0","Advantech-DLoG","ADL","N","0.200"
"ADL-DLMEMS79375500","DL-MEMS79375500","MNTL for scanner LS34xx, LS35xx","41.00","29.46","0","Advantech-DLoG","ADL","N","0.750"
"ADL-DLMEMS79375700","DL-MEMS79375700","DLoG Voice kit, right handed, DLT-V8310","305.00","219.16","0","Advantech-DLoG","ADL","N","0.661"
"ADL-DLMEMS79375800","DL-MEMS79375800","MOUNTING KIT ADAPTER DLT-V72XX TO MPC6","20.00","14.37","0","Advantech-DLoG","ADL","N","0.661"
"ADL-DLMEMS79375900","DL-MEMS79375900","MOUNTING KIT ADAPTER DLT-V72XX TO MPC6","45.00","32.34","0","Advantech-DLoG","ADL","N","0.661"
"ADL-DLMEMS79376100","DL-MEMS79376100","DLoG Voice kit, left handed, DLT-V8310","305.00","219.16","0","Advantech-DLoG","ADL","N","0.661"
"ADL-DLMEMS79382600","DL-MEMS79382600","DLoG Voice kit, left handed, DLT-V8312","305.00","219.16","0","Advantech-DLoG","ADL","N","0.750"
"ADL-DLMEMT70119600","DL-MEMT70119600","RAM MOUNT SET FOR UTC515/520 BALL 2.25""","124.00","89.28","0","Advantech-DLoG","ADL","N","1.631"
"ADL-DLMEMT70123500","DL-MEMT70123500","CLAMP MOUNT ADAPTER LOW VMT","40.00","28.74","0","Advantech-DLoG","ADL","N","0.750"
"ADL-DLMEMT70174400","DL-MEMT70174400","Mounting left, for scanner LS34xx/LS35xx","69.00","49.58","0","Advantech-DLoG","ADL","N","1.631"
"ADL-DLMEMT79375000","DL-MEMT79375000","MOUNT BRACKET for DLT-V83 series","40.00","28.74","0","Advantech-DLoG","ADL","N","0.750"
"ADL-DLMEMT79388200","DL-MEMT79388200","Stylus with mounting right,for RES Touch","80.00","54.40","0","Advantech-DLoG","ADL","N","1.210"
"ADL-DLMEMT79388300","DL-MEMT79388300","Stylus with mounting, right,for PCT","80.00","54.40","0","Advantech-DLoG","ADL","N","1.210"
"ADL-DLMEMT79388400","DL-MEMT79388400","Stylus w. mounting large right resistive","80.00","54.40","0","Advantech-DLoG","ADL","N","1.210"
"ADL-DLPSPR79155000","DL-PSPR79155000","Power supply, 110/240VAC,24V output, 90W","180.00","122.39","0","Advantech-DLoG","ADL","N","6.500"
"ADL-DLSMCT68220200","DL-SMCT68220200","ADLoG C-Fast Card","240.00","163.19","0","Advantech-DLoG","ADL","N","0.010"
"ADL-DLSMCT68220300","DL-SMCT68220300","MLC-CFAST Card 32 GB","234.00","132.59","0","Advantech-DLoG","ADL","N","1.850"
"ADL-DLSMMS64550401","DL-SMMS64550401","8GB USB DOS 6.22 E Ghost Solution Suite","350.00","237.99","0","Advantech-DLoG","ADL","N","0.790"
